name,species,treatment,after_treatment,common_potential,cell_type,notes,AP_peak,AP_amp,max_dvdt,min_dvdt,halfwidth,resonance_freq,cutoff,input_R,sag,RMP,EPSC_5sec,EPSC_Hz,EPSC_amp,washin_change,washin_outcome,FI_50,FI_100,FI_150,FI_200,FI_250,FI_300,FI_350,FI_400,FI_450,FI_500,FI_550,FI_600,FI_650,FI_700,FI_750,FI_800,FI_850,FI_900,Layer,topLeaf_label
Sst-IRES-Cre;Pvalb-T2A-FlpO;Ai193-hyg-565533.11.06.01,mouse,stability,1,,pyramidal,,49.591064,86.377945,285.33936,-86.975098,1.005127,0.68181819,5.2188287,144.2276,0.89698046,-73.58033,,0,,,,0,6,14,20,24,28,30,32,35,37,39,,,,,,,,,
Sst-IRES-Cre;Pvalb-T2A-FlpO;Ai193-hyg-565533.12.06.01,mouse,stability,0,,interneuron?,,45.532227,76.178436,325.92773,-166.93115,0.51586914,0.68181819,1.7935243,287.26138,0.96370769,-65.287331,,0,,,,3,27,45,61,72,85,97,,,,,,,,,,,,,
Sst-IRES-Cre;Pvalb-T2A-FlpO;Ai193-hyg-565533.12.06.01,mouse,stability,1,,interneuron?,,40.252686,72.67408,286.56006,-155.63965,0.54443359,0.81818181,2.3814149,277.83093,1.0596964,-65.808998,,0,,,,2,27,45,59,74,86,,,,,,,,,,,,,,
Q21.26.003.12.01.01,NHP,stability,0,,pyramidal,,55.084229,101.76158,500.18311,-97.961426,0.95532227,0.5,8.7351017,57.186871,0.93805188,-81.685059,,0,,,,0,0,0,0,7,17,24,30,35,39,43,48,51,54,57,59,61,63,,
Q21.26.003.12.01.01,NHP,stability,1,,pyramidal,,52.642822,97.534492,420.8374,-87.280273,0.98693848,0.59090906,8.3927851,66.768913,0.97745651,-83.241356,,0,,,,0,0,0,0,9,18,24,31,36,,,,,,,,,,,
Slc17a6-IRES-Cre;Ai14-562819.18.09.02,mouse,stability,0,,pyramidal,,45.410156,89.867493,343.62793,-97.045898,0.90344238,0.5,4.1502151,134.58989,0.96777248,-76.638374,,0,,,,0,1,14,21,28,31,34,37,39,41,43,,,,,,,,,
Slc17a6-IRES-Cre;Ai14-562819.18.09.02,mouse,stability,1,,pyramidal,,39.581299,85.202972,303.34473,-88.195801,0.93005371,0.5,3.2249174,142.326,0.99389875,-80.209686,,0,,,,0,1,12,18,23,26,30,32,35,,,,,,,,,,,
H21.03.302.11.04.01,human,50uM 5-HT,0,,pyramidal,,46.508789,83.809402,244.4458,-86.05957,0.90014648,1.0909091,3.0923064,185.99532,1.1448116,-62.656433,6.307692308,1.261538462,11.700887,,,0,10,16,21,25,28,,,,,,,,,,,,,,Exc L4-6 RORB SEMA3E
H21.03.302.11.04.01,human,50uM 5-HT,1,,pyramidal,,42.449951,82.281425,235.29053,-76.904297,0.99023438,0.5,4.3679876,134.61163,1.1980201,-70.334572,5.466666667,1.093333333,11.805093,,,0,0,5,11,18,22,25,25,28,27,,,,,,,,,,Exc L4-6 RORB SEMA3E
Slc17a7-IRES2-Cre;Ai14-565032.11.09.01,mouse,stability,0,,pyramidal,,49.346924,86.556961,399.78027,-110.77881,0.71203613,0.5,3.1627409,107.6093,0.94187206,-77.526436,,0,,,,0,0,7,13,16,18,20,22,23,25,26,,,,,,,,,
Slc17a7-IRES2-Cre;Ai14-565032.11.09.01,mouse,stability,1,,pyramidal,,46.234131,84.374725,334.77783,-104.06494,0.77197266,0.5,3.1177886,127.11318,0.86970699,-80.2696,,0,,,,0,0,8,12,15,17,19,20,22,22,22,,,,,,,,,
Slc17a7-IRES2-Cre;Ai14-565032.12.09.01,mouse,stability,0,,pyramidal,,47.058105,84.321739,301.2085,-70.19043,1.0751953,0.5,2.8668392,185.23842,0.87380129,-69.897285,,0,,,,1,9,14,18,21,24,26,28,29,30,31,,,,,,,,,
Slc17a7-IRES2-Cre;Ai14-565032.12.09.01,mouse,stability,1,,pyramidal,,40.252686,85.195663,318.90869,-81.481934,0.97741699,0.5,5.4411297,134.7765,0.94965911,-76.358879,,0,,,,0,0,0,1,5,12,15,17,20,20,14,,,,,,,,,
Slc17a7-IRES2-Cre;Ai14-565033.11.10.01,mouse,50uM 5-HT,0,,pyramidal,,43.792725,77.787842,289.91699,-77.514648,0.87255859,0.5,4.0300312,144.57019,1.0467656,-62.853317,,0,,,,0,1,4,9,11,12,16,18,18,23,18,,,,,,,,,
Slc17a7-IRES2-Cre;Ai14-565033.11.10.01,mouse,50uM 5-HT,1,,pyramidal,,44.433594,79.989258,339.96582,-83.618164,0.81713867,0.63636363,0.63636363,89.303719,1.0084549,-70.069733,,0,,,,0,0,0,0,1,1,3,4,7,11,13,16,,,,,,,,
Vip-IRES-Cre;Ai14-564742.11.10.01,mouse,50uM 5-HT,0,,pyramidal,,50.140381,86.741447,403.74756,-70.800781,0.96850586,0.5,3.195179,163.35728,0.96853757,-70.915321,,0,,,,0,10,17,22,25,28,30,31,32,34,34,,,,,,,,,
Vip-IRES-Cre;Ai14-564742.11.10.01,mouse,50uM 5-HT,1,,pyramidal,,49.316406,86.928307,366.51611,-74.157715,0.94628906,0.5,5.5866599,118.63939,1.0535101,-70.413429,,0,,,,0,0,1,5,11,17,21,25,28,30,31,,,,,,,,,
H21.03.304.11.05.01.01,human,50uM 5-HT,0,,pyramidal,,54.931641,92.600197,269.77539,-87.280273,1.005127,0.77272725,4.1754189,89.253517,1.0179976,-66.945953,3.6,0.72,7.6381136,,,0,0,0,4,11,15,19,21,23,25,26,28,29,,,,,,,
H21.03.304.11.05.01.01,human,50uM 5-HT,1,,pyramidal,,47.88208,88.057129,236.51123,-93.688965,0.97119141,0.59090906,5.4763021,79.280373,0.98390955,-70.435547,4.4,0.88,8.170391,,,0,0,0,0,3,11,16,20,23,25,28,30,33,35,,,,,,
H21.03.304.11.05.02.01,human,50uM 5-HT,0,,pyramidal,,65.917969,89.698044,273.13232,-97.045898,0.86779785,0.90909094,4.5676675,110.84171,0.92463768,-60.586151,8.222222222,1.644444444,15,,,0,0,4,9,13,15,18,20,22,25,26,27,29,,,,,,,
H21.03.304.11.05.02.01,human,50uM 5-HT,1,,pyramidal,,64.208984,85.812714,249.63379,-94.909668,0.87194824,0.5,5.3162508,91.273804,0.98852164,-59.42345,9.111111111,1.822222222,12.900615,,,0,0,0,0,4,10,14,17,20,22,26,27,29,31,32,,,,,
H21.03.304.11.06.01.01,human,50uM 5-HT,0,,pyramidal,,55.877686,90.550064,288.08594,-84.838867,0.94946289,0.5,5.8665428,104.9992,0.96084327,-68.203819,10.54545455,2.109090909,17.663363,,,0,0,0,7,11,14,16,18,19,20,21,21,23,25,24,,,,,
H21.03.304.11.06.01.01,human,50uM 5-HT,1,,pyramidal,,47.546387,88.796288,274.04785,-83.92334,0.95947266,0.5,7.6872749,79.769745,0.96304125,-72.240158,13,2.6,11.931198,,,0,0,0,0,0,0,4,10,12,16,18,19,23,23,23,,,,,
Q21.26.005.11.08.01,NHP,50uM 5-HT,0,,pyramidal,,42.572021,81.21315,270.69092,-79.650879,0.96057129,1.3181819,3.636399,89.894539,1.2784954,-70.499603,,0,,,,0,0,5,12,16,19,21,23,24,25,25,,,,,,,,,
Q21.26.005.11.08.01,NHP,50uM 5-HT,1,,pyramidal,,42.449951,81.039474,259.70459,-76.904297,0.99975586,1.3636364,3.4984133,96.341286,1.3000009,-70.209412,,0,,,,0,0,6,12,16,19,20,22,23,23,24,25,,,,,,,,
Slc17a8-iCre;Ai14-565384.07.09.01,mouse,50uM 5-HT,0,,pyramidal,,55.57251,94.360352,393.98193,-102.53906,0.88623047,1.4090909,3.4532666,97.059074,1.2846082,-63.41103,,0,,,,0,4,11,16,20,24,27,29,30,31,31,32,,,,,,,,
Slc17a8-iCre;Ai14-565384.07.09.01,mouse,50uM 5-HT,1,,pyramidal,,51.025391,94.234764,389.4043,-111.69434,0.84790039,1.2272727,3.3978133,85.550903,1.2548137,-66.175262,,0,,,,0,4,11,16,20,24,26,29,30,31,32,32,,,,,,,,
Slc17a8-iCre;Ai14-565384.06.09.01,mouse,50uM 5-HT,0,,pyramidal,,51.818848,84.73867,314.33105,-65.917969,1.107666,0.5,1.9542494,227.76778,0.76718742,-67.295097,,0,,,,3,9,14,19,22,24,26,27,27,27,22,,,,,,,,,
Slc17a8-iCre;Ai14-565384.06.09.01,mouse,50uM 5-HT,1,,pyramidal,,44.433594,82.708717,293.5791,-67.138672,1.1308594,0.68181819,2.619566,187.37317,0.9908123,-71.953293,,0,,,,0,5,11,16,20,23,25,26,27,23,,,,,,,,,,
Esr2-IRES2-Cre;Ai14-566833.12.10.01,mouse,50uM 5-HT,0,,pyramidal,,45.837402,87.314217,370.17822,-82.397461,0.92053223,1,5.8809872,124.23439,1.053601,-72.444832,10.18181818,2.036363636,8,,,0,1,6,10,13,17,20,22,24,27,29,31,,,,,,,,
Esr2-IRES2-Cre;Ai14-566833.12.10.01,mouse,50uM 5-HT,1,,pyramidal,,36.651611,90.389565,367.43164,-94.299316,0.85131836,0.68181819,11.688922,84.680984,1.0263958,-82.333359,2.307692308,0.461538462,9.6,,,0,1,0,0,1,0,3,4,9,15,18,23,24,,,,,,,
Esr2-IRES2-Cre;Ai14-566833.11.10.01,mouse,50uM 5-HT,0,,pyramidal,,46.508789,82.686829,273.74268,-89.416504,0.84387207,0.63636363,7.1658735,107.957,0.82119334,-65.987526,5.117647059,1.023529412,12.4,,,0,0,0,0,1,1,2,3,4,5,5,5,5,,,,,,,
Esr2-IRES2-Cre;Ai14-566833.11.10.01,mouse,50uM 5-HT,1,,pyramidal,,41.259766,83.270248,264.89258,-93.383789,0.83093262,0.5,6.6168818,109.58733,0.97186649,-75.166039,4.636363636,0.927272727,13.8,,,0,0,0,1,1,2,3,4,6,6,5,,,,,,,,,
Esr2-IRES2-Cre;Ai14-566833.10.10.01,mouse,50uM 5-HT,0,,pyramidal,,46.417236,77.900887,262.146,-79.956055,0.88439941,0.5,6.418036,147.08699,1.0201286,-62.55621,5.166666667,1.033333333,13.70995,,,0,0,0,1,2,5,8,11,15,15,18,22,20,19,,,,,,
Esr2-IRES2-Cre;Ai14-566833.10.10.01,mouse,50uM 5-HT,1,,pyramidal,,37.841797,76.04361,234.98535,-77.209473,0.93469238,0.95454544,5.4712524,142.99492,1.0158151,-68.273827,9.666666667,1.933333333,11.77206,,,0,0,0,2,5,12,15,18,22,19,20,25,16,,,,,,,
H21.06.351.11.04.01.01,human,50uM 5-HT,0,,pyramidal,,54.534912,87.150024,239.86816,-84.838867,0.97131348,0.5,2.5464685,109.61115,0.96258432,-71.320076,44.57142857,8.914285714,9.61107,,,0,0,5,11,15,18,21,22,24,26,28,,,,,,,,,
H21.06.351.11.04.01.01,human,50uM 5-HT,1,,pyramidal,,52.124023,88.053764,248.41309,-98.266602,0.92346191,0.90909094,3.9678924,87.010986,0.966003,-73.763527,40.75,8.15,10.99006,,,0,0,0,2,12,19,22,24,26,29,32,,,,,,,,,
Pvalb-IRES-Cre;Ai14-568308.10.06.01,mouse,50uM 5-HT,0,,pyramidal,,52.67334,86.991936,321.3501,-71.105957,1.0253906,0.5,5.7966943,94.847939,1.0021263,-75.737968,17.77777778,3.555555556,13.97705,,,0,0,0,1,4,7,10,12,14,16,17,20,21,22,24,,,,,
Pvalb-IRES-Cre;Ai14-568308.10.06.01,mouse,50uM 5-HT,1,,pyramidal,,49.163818,88.09787,328.67432,-77.819824,0.96582031,1.3181819,7.7226658,92.999489,0.97253412,-74.036079,15.38095238,3.076190476,18.87731,,,0,0,0,0,0,1,4,9,13,16,19,19,18,19,,,,,,
Chat-IRES-Cre-neo;Ai14-567006.12.10.01,mouse,50uM 5-HT,0,,pyramidal,,48.76709,85.999252,354.61426,-128.17383,0.67114258,0.63636363,3.9143174,115.78936,0.94109702,-70.383163,20.72727273,4.145454545,9.49286,,,0,4,16,24,30,34,37,38,40,41,42,,,,,,,,,
Chat-IRES-Cre-neo;Ai14-567006.12.10.01,mouse,50uM 5-HT,1,,pyramidal,,48.76709,88.011772,371.7041,-134.27734,0.65722656,0.86363637,14.229197,76.786514,0.96602547,-67.825226,11.28571429,2.257142857,8.25127,,,0,0,0,0,1,4,6,8,8,10,11,,,,,,,,,
Chat-IRES-Cre-neo;Ai14-567006.11.10.01,mouse,50uM 5-HT,0,,pyramidal,,53.131104,86.79493,320.12939,-92.773438,0.82897949,1.4090909,8.768527,82.18499,1.0723355,-61.93362,7.8,1.56,12.85651,,,0,0,0,0,1,1,3,3,4,5,7,8,7,10,12,13,14,,,
Chat-IRES-Cre-neo;Ai14-567006.11.10.01,mouse,50uM 5-HT,1,,pyramidal,,52.67334,85.808708,304.26025,-86.975098,0.87524414,2.090909,13.688437,53.064907,1.0028615,-60.470974,10.75,2.15,10.886962,,,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,5,5,,,
H21.03.305.11.07.01.01,human,50uM 5-HT,0,,pyramidal,,49.102783,86.053818,247.80273,-68.969727,1.1472168,0.5,1.3472636,152.84166,1.0138948,-79.389595,143.4444444,28.68888889,20.813415,,,0,0,1,1,3,5,7,10,11,13,15,16,18,20,,,,,3c,
H21.03.305.11.07.01.01,human,50uM 5-HT,1,,pyramidal,,40.008545,82.00145,231.32324,-70.800781,1.1075439,0.5,1.1729439,114.98039,0.75157392,-59.983303,265,53,36.853719,,,1,7,12,15,18,21,24,26,26,27,,,,,,,,,3c,
H21.03.305.11.07.02.01,human,50uM 5-HT,0,,pyramidal,,54.046631,87.348061,238.95264,-57.373047,1.3398438,0.5,1.3379575,137.45824,0.97823024,-76.884521,79.4,15.88,13.419277,,,0,0,0,1,3,6,7,9,10,12,13,14,,,,,,,3b,
H21.03.305.11.07.02.01,human,50uM 5-HT,1,,pyramidal,,42.480469,79.287643,207.21436,-59.509277,1.2695312,0.5,0.92762923,154.5977,0.9514879,-53.408787,186.3,37.26,17.539993,,,5,13,15,16,21,21,22,24,26,27,,,,,,,,,3b,
Sst-IRES-Cre;Pvalb-T2A-FlpO;Ai193-hyg-570902.11.06.01,mouse,50uM 5-HT,0,,pyramidal,,58.197021,88.47374,386.96289,-84.533691,0.89782715,0.68181819,3.6913674,155.16725,1.023932,-58.07457,55.875,11.175,10.595812,,,0,8,13,18,21,24,26,28,30,31,32,34,,,,,,,,
Sst-IRES-Cre;Pvalb-T2A-FlpO;Ai193-hyg-570902.11.06.01,mouse,50uM 5-HT,1,,pyramidal,,50.140381,82.279648,310.97412,-75.683594,0.99060059,0.68181819,7.1267323,98.267601,0.99081361,-58.48315,75.5,15.1,13.922478,,,0,0,0,3,8,16,20,24,27,29,30,33,,,,,,,,
H21.03.306.11.10.02.01,human,50uM 5-HT,0,,pyramidal,,58.624268,93.72406,317.99316,-78.430176,1.1029053,0.81818181,3.7992625,56.232807,1.0052047,-73.873093,8.9,1.78,9.03183,,,0,0,0,0,0,2,7,11,14,16,18,,,,,,,,3c,
H21.03.306.11.10.02.01,human,50uM 5-HT,1,,pyramidal,,54.626465,93.061684,293.88428,-86.364746,1.0611572,0.5,4.3769732,59.347569,0.99104542,-75.465187,13.2,2.64,6.8757,,,0,0,0,0,0,0,1,9,14,17,19,,,,,,,,3c,
H21.03.306.11.10.01.01,human,50uM 5-HT,0,,interneuron?,,29.541016,70.997711,364.07471,-236.51123,0.36547852,1,8.0326567,88.708168,1.0627133,-73.282272,71.57142857,14.31428571,19.0625,,,0,0,1,18,41,58,74,90,105,,,,,,,,,,3b,
H21.03.306.11.10.01.01,human,50uM 5-HT,1,,interneuron?,,25.512695,72.188568,401.00098,-260.00977,0.32983398,0.81818181,7.5062046,80.248924,1.1603987,-69.886574,136.5454545,27.30909091,16.317249,,,0,0,13,43,60,77,94,110,126,141,152,,,,,,,,3b,
H21.03.306.11.10.02.01,human,50uM 5-HT,0,1,pyramidal,,57.952881,94.086792,308.53271,-79.956055,1.0804443,0.63636363,2.9012845,71.052238,1.0238025,-64.55162,,0,,,,0,0,0,5,9,13,15,17,19,20,,,,,,,,,,
H21.03.306.11.10.02.01,human,50uM 5-HT,1,1,pyramidal,,55.297852,92.235832,282.89795,-88.500977,1.0620117,0.5,3.2819283,76.345314,1.0066329,-63.806965,,0,,,,0,0,0,2,10,14,17,21,,,,,,,,,,,,
Q21.26.008.11.03.01,NHP,50uM 5-HT,0,0,pyramidal,,47.546387,81.552269,237.12158,-89.111328,0.88952637,1.3181819,3.6445584,84.998466,1.2547451,-67.79287,21.4375,4.2875,8.975555,,,0,0,2,2,3,6,11,19,23,25,,,,,,,,,,
Q21.26.008.11.03.01,NHP,50uM 5-HT,1,0,pyramidal,,44.006348,80.75798,217.89551,-88.806152,0.8972168,0.72727275,4.5642591,89.28685,1.2032263,-71.641441,82.85714286,16.57142857,8.99058,,,0,0,1,4,12,15,17,18,20,21,24,,,,,,,,,
Slc17a6-IRES-Cre;Ai14-571416.02.09.01,mouse,50uM 5-HT,0,0,pyramidal,,55.908203,86.326958,366.51611,-88.500977,0.87438965,0.68181819,7.52596,55.382725,0.96828443,-77.48687,34.09090909,6.818181818,9.12598,,,0,0,0,0,0,1,3,7,10,9,,,,,,,,,,
Slc17a6-IRES-Cre;Ai14-571416.02.09.01,mouse,50uM 5-HT,1,0,pyramidal,,49.89624,89.283928,374.45068,-91.85791,0.90808105,0.5,,52.989403,0.97799146,-75.64119,34.66666667,6.933333333,8.85715,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,4,,
H21.03.307.11.03.01.01,human,50uM 5-HT,0,0,pyramidal,,55.053711,90.712753,226.13525,-58.59375,1.3751221,0.59090906,2.1802895,132.65999,1.1140701,-61.199493,12.71428571,2.542857143,7.701405,,,0,2,6,10,12,15,17,19,21,23,,,,,,,,,,
H21.03.307.11.03.01.01,human,50uM 5-HT,1,0,pyramidal,,61.096191,94.339607,284.729,-64.697266,1.260498,0.5,2.8484097,122.3187,1.2156297,-50.227894,43.71428571,8.742857143,8.822174,,,2,5,8,10,12,14,16,18,19,21,,,,,,,,,,
Rorb-IRES2-Cre-neo;Ai14-571901.14.10.01,mouse,50uM 5-HT,0,0,pyramidal,,67.230225,89.936821,366.51611,-74.157715,1.0332031,0.63636363,3.2144949,102.15907,1.062907,-59.74411,36.75,7.35,15.703056,,,0,0,4,8,11,14,16,19,21,22,24,25,27,,,,,,,
Rorb-IRES2-Cre-neo;Ai14-571901.14.10.01,mouse,50uM 5-HT,1,0,pyramidal,,67.108154,88.944763,348.81592,-72.631836,1.0452881,0.5,4.2281241,82.014854,1.072679,-58.408337,43,8.6,12.0978451,,,0,0,0,0,1,4,7,10,13,16,19,21,,,,,,,,
Th-P2A-FlpO;Ai65-572288.02.09.01,mouse,control,0,0,pyramidal,,59.234619,91.239006,360.71777,-66.223145,1.1083984,0.5,2.3572881,124.59066,0.9108786,-65.735031,45.1,9.02,8.60717,8,depolarized,0,4,9,13,16,18,20,22,22,23,24,,,,,,,,,
Th-P2A-FlpO;Ai65-572288.02.09.01,mouse,control,1,0,pyramidal,,62.744141,86.94458,324.40186,-68.359375,1.0982666,0.63636363,3.424289,112.84843,0.96804971,-55.477585,51.57142857,10.31428571,8.6937058,8,depolarized,0,0,1,3,6,10,11,15,17,15,19,16,,,,,,,,
Sst-IRES-Cre;Ai14-572057.03.10.01,mouse,50uM 5-HT,0,0,pyramidal,,67.749023,90.018364,341.4917,-66.833496,1.1405029,0.68181819,2.5401435,102.83921,1.0657508,-51.001919,22.44444444,4.488888889,7.523643,,,0,0,5,8,11,13,15,17,19,21,23,,,,,,,,,
Sst-IRES-Cre;Ai14-572057.03.10.01,mouse,50uM 5-HT,1,0,pyramidal,,66.101074,88.681969,324.40186,-67.749023,1.1087646,0.59090906,3.6765776,88.740852,1.0855255,-50.305328,19.09090909,3.818181818,7.277717,,,0,0,0,5,9,11,13,15,17,19,20,,,,,,,,,
Sst-IRES-Cre;Ai14-572057.04.10.01,mouse,control,0,0,pyramidal,,64.758301,84.819794,340.57617,-78.125,0.96447754,0.68181819,3.317709,88.16481,0.96353573,-62.75687,153,30.6,12.351219,-3,hyperpolarized,0,0,1,1,2,5,8,13,15,17,18,,,,,,,,,
Sst-IRES-Cre;Ai14-572057.04.10.01,mouse,control,1,0,pyramidal,,68.084717,89.113266,361.32812,-84.838867,0.92663574,0.5,3.3674691,84.474617,1.0056767,-53.61842,103.3076923,20.66153846,10.61912,-3,hyperpolarized,0,0,0,1,2,4,6,9,11,11,12,,,,,,,,,
Sst-IRES-Cre;Ai14-572057.04.10.02,mouse,50uM 5-HT,0,0,pyramidal,,61.462402,90.731026,351.5625,-73.547363,1.0786133,0.5,6.5039525,46.880486,0.97201604,-73.415451,106.25,21.25,10.40901,,,0,0,0,0,2,6,10,13,15,17,19,,,,,,,,,
Sst-IRES-Cre;Ai14-572057.04.10.02,mouse,50uM 5-HT,1,0,pyramidal,,65.979004,93.317474,397.33887,-97.045898,0.86035156,0.68181819,8.2530718,47.346478,0.9824174,-65.789848,62.375,12.475,7.546829,,,0,0,0,0,0,0,4,9,13,15,17,19,,,,,,,,
H21.03.309.11.05.01.01,human,50uM 5-HT,0,0,pyramidal,,58.868408,96.119095,311.2793,-54.626465,1.5187988,0.5,3.0525358,46.161083,1.119386,-67.513451,34.75,6.95,9.954438,,,0,0,0,0,0,1,3,5,7,9,11,12,13,,,,,,,
H21.03.309.11.05.01.01,human,50uM 5-HT,1,0,pyramidal,,57.281494,92.090103,279.84619,-55.847168,1.4154053,0.86363637,2.4744639,49.932476,1.150195,-61.45171,110,22,12.3529605,,,0,0,0,0,1,4,6,8,9,11,12,13,14,15,,,,,,
H21.03.309.11.05.02.01,human,50uM 5-HT,0,0,pyramidal,,61.828613,98.364594,346.67969,-72.32666,1.1654053,1.2727273,3.9197991,52.43343,1.0210502,-67.006485,20.45454545,4.090909091,10.30273,,,0,0,0,0,0,3,7,10,13,16,18,20,,,,,,,,
H21.03.309.11.05.02.01,human,50uM 5-HT,1,0,pyramidal,,63.415527,99.77816,335.99854,-83.618164,1.0910645,0.5,4.7884741,53.05114,1.0147077,-63.420914,32.5,6.5,9.246826,,,0,0,0,0,0,0,4,9,13,16,19,21,,,,,,,,
Q21.26.009.11.03,NHP,50uM 5-HT,0,0,pyramidal,,62.927246,95.120224,357.97119,-68.969727,1.1721191,0.86363637,4.3110118,54.391212,0.98551637,-66.78054,28.8,5.76,10.284849,,,0,0,0,0,0,1,6,10,13,15,16,18,,,,,,,,
Q21.26.009.11.03,NHP,50uM 5-HT,1,0,pyramidal,,62.683105,92.722176,327.75879,-69.885254,1.1933594,0.5,4.4448953,52.851269,1.0073113,-64.923058,124.2,24.84,9.677658,,,0,0,0,0,0,0,1,5,9,11,13,15,16,,,,,,,
Q21.26.009.11.13,NHP,50uM 5-HT,0,0,pyramidal,,51.147461,85.316597,263.97705,-66.223145,1.0559082,0.5,4.5934701,76.153381,0.97382957,-74.736229,32.33333333,6.466666667,7.79225,,,0,0,0,0,1,7,12,15,18,21,22,,,,,,,,,
Q21.26.009.11.13,NHP,50uM 5-HT,1,0,pyramidal,,46.783447,84.69072,287.78076,-74.768066,0.95336914,0.86363637,11.76034,53.033367,1.0105017,-77.644218,55.7,11.14,7.61351,,,0,0,0,0,0,0,0,0,0,0,0,1,2,6,7,10,,,,
H21.03.310.11.07.01.01,human,50uM psilocybin,0,0,pyramidal,,57.067871,90.555634,317.99316,-65.002441,1.1655273,0.63636363,2.7982955,79.035835,1.1141863,-59.285183,54,10.8,8.49594335,-8.01624,hyperpolarized,0,0,1,3,5,8,9,10,11,11,,,,,,,,,,
H21.03.310.11.07.01.01,human,50uM psilocybin,1,0,pyramidal,,52.368164,83.333252,268.55469,-52.185059,1.3253174,0.5,3.274359,60.857014,1.0176783,-58.460247,25.55555556,5.111111111,7.013737,-8.01624,hyperpolarized,0,0,0,0,0,1,2,3,5,5,6,8,,,,,,,,
H21.03.310.11.08.01.01,human,50uM psilocybin,0,0,pyramidal,,61.431885,92.434883,281.37207,-65.307617,1.1463623,1.3636364,3.1664064,48.282204,1.3408635,-56.544987,122.5833333,24.51666667,15.409409,31.3242,depolarized,0,0,0,1,1,5,8,11,13,16,19,21,,,,,,,,
